name,position,record,team,year
Mike Nolan,Head Coach,4-12-0,sfo,2005
Bill Davis,Defensive Coordinator,4-12-0,sfo,2005
Bill Davis,Defensive Coordinator,4-12-0,sfo,2006
Pep Hamilton,Offensive Asst./QB,4-12-0,sfo,2006
Mike Nolan,Head Coach,7-9-0,sfo,2006
Norv Turner,Offensive Coordinator,7-9-0,sfo,2006
Frank Cignetti,Quarterbacks,7-9-0,sfo,2007
Mike Nolan,Head Coach,5-11-0,sfo,2007
Greg Manusky,Defensive Coordinator,5-11-0,sfo,2007
Jim Hostler,Offensive Coordinator,5-11-0,sfo,2007
Chris Foerster,Offensive Line,5-11-0,sfo,2008
Greg Manusky,Defensive Coordinator,5-11-0,sfo,2008
Mike Martz,Offensive Coordinator,5-11-0,sfo,2008
Mike Nolan,Head Coach,2-5-0,sfo,2008
Jimmy Raye,Offensive Coordinator,2-5-0,sfo,2009
Mike Singletary,Head Coach,8-8-0,sfo,2009
Chris Foerster,Offensive Line,8-8-0,sfo,2009
Greg Manusky,Defensive Coordinator,8-8-0,sfo,2009
Jimmy Raye,Offensive Coordinator,8-8-0,sfo,2010
Vance Joseph,Defensive Backs,8-8-0,sfo,2010
Jim Tomsula,Head Coach,1-0-0,sfo,2010
Greg Manusky,Defensive Coordinator,1-0-0,sfo,2010
Vic Fangio,Defensive Coordinator,1-0-0,sfo,2011
Greg Roman,Offensive Coordinator,1-0-0,sfo,2011
Geep Chryst,Quarterbacks,1-0-0,sfo,2011
Jim Harbaugh,Head Coach,13-3-0,sfo,2011
Vic Fangio,Defensive Coordinator,13-3-0,sfo,2012
Jim Harbaugh,Head Coach,11-4-1,sfo,2012
Greg Roman,Offensive Coordinator,11-4-1,sfo,2012
Geep Chryst,Quarterbacks,11-4-1,sfo,2012
Jim Harbaugh,Head Coach,12-4-0,sfo,2013
Vic Fangio,Defensive Coordinator,12-4-0,sfo,2013
Greg Roman,Offensive Coordinator,12-4-0,sfo,2013
Geep Chryst,Quarterbacks,12-4-0,sfo,2013
Vic Fangio,Defensive Coordinator,12-4-0,sfo,2014
Jim Harbaugh,Head Coach,8-8-0,sfo,2014
Geep Chryst,Quarterbacks,8-8-0,sfo,2014
Greg Roman,Offensive Coordinator,8-8-0,sfo,2014
Jim Tomsula,Head Coach,5-11-0,sfo,2015
Geep Chryst,Offensive Coordinator,5-11-0,sfo,2015
Eric Mangini,Defensive Coordinator,5-11-0,sfo,2015
Ejiro Evero,Defensive Assistant,5-11-0,sfo,2015
Dana Bible,Offensive Assistant,5-11-0,sfo,2016
Curtis Modkins,Offensive Coordinator,5-11-0,sfo,2016
Chip Kelly,Head Coach,2-14-0,sfo,2016
Jim ONeil,Defensive Coordinator,2-14-0,sfo,2016
Robert Saleh,Defensive Coordinator,2-14-0,sfo,2017
Jeff Hafley,Defensive Backs,2-14-0,sfo,2017
Kyle Shanahan,Head Coach,6-10-0,sfo,2017
Kyle Shanahan,Head Coach,4-12-0,sfo,2018
Jeff Hafley,Defensive Backs,4-12-0,sfo,2018
Robert Saleh,Defensive Coordinator,4-12-0,sfo,2018
Robert Saleh,Defensive Coordinator,4-12-0,sfo,2019
Kyle Shanahan,Head Coach,13-3-0,sfo,2019
Chris Foerster,Consultant,13-3-0,sfo,2019
Robert Saleh,Defensive Coordinator,13-3-0,sfo,2020
Chris Foerster,Asst. Offensive Line,13-3-0,sfo,2020
Kyle Shanahan,Head Coach,6-10-0,sfo,2020
DeMeco Ryans,Defensive Coordinator,6-10-0,sfo,2021
Kyle Shanahan,Head Coach,10-7-0,sfo,2021
Mike McDaniel,Offensive Coordinator,10-7-0,sfo,2021
James Bettcher,Sr. Defensive Asst./Run Game Specialist,10-7-0,sfo,2021
DeMeco Ryans,Defensive Coordinator,10-7-0,sfo,2022
Chris Foerster,Offensive Line/Run Game Coordinator,10-7-0,sfo,2022
Kyle Shanahan,Head Coach,13-4-0,sfo,2022
Chris Foerster,Offensive Line/Run Game Coordinator,13-4-0,sfo,2023
Steve Wilks,Defensive Coordinator,13-4-0,sfo,2023
Kyle Shanahan,Head Coach,12-5-0,sfo,2023
Jack Patera,Head Coach,2-12-0,sea,1976
Larry Peccatiello,Linebackers,2-12-0,sea,1976
Jerry Rhome,Quarterbacks,2-12-0,sea,1976
Bob Hollway,Defensive Coordinator,2-12-0,sea,1976
Sam Boghosian,Offensive Coordinator,2-12-0,sea,1976
Sam Boghosian,Offensive Coordinator,2-12-0,sea,1977
Larry Peccatiello,Linebackers,2-12-0,sea,1977
Jerry Rhome,Quarterbacks,2-12-0,sea,1977
Bob Hollway,Defensive Coordinator,2-12-0,sea,1977
Jack Patera,Head Coach,5-9-0,sea,1977
Larry Peccatiello,Defensive Coordinator,5-9-0,sea,1978
Jack Christiansen,Defensive Backfield,5-9-0,sea,1978
Jim Mora,Defensive Line,5-9-0,sea,1978
Jack Patera,Head Coach,9-7-0,sea,1978
Jerry Rhome,Offensive Coordinator,9-7-0,sea,1978
Larry Peccatiello,Defensive Coordinator,9-7-0,sea,1979
Jack Christiansen,Defensive Backfield,9-7-0,sea,1979
Jim Mora,Defensive Line,9-7-0,sea,1979
Rusty Tillman,Special Teams,9-7-0,sea,1979
Jack Patera,Head Coach,9-7-0,sea,1979
Jerry Rhome,Offensive Coordinator,9-7-0,sea,1979
Larry Peccatiello,Defensive Coordinator,9-7-0,sea,1980
Jack Christiansen,Defensive Backfield,9-7-0,sea,1980
Jim Mora,Defensive Line,9-7-0,sea,1980
Rusty Tillman,Special Teams,9-7-0,sea,1980
Jack Patera,Head Coach,4-12-0,sea,1980
Jerry Rhome,Offensive Coordinator,4-12-0,sea,1980
Jack Christiansen,Defensive Backfield,4-12-0,sea,1981
Jim Mora,Defensive Line,4-12-0,sea,1981
Rusty Tillman,Special Teams,4-12-0,sea,1981
Jack Patera,Head Coach,6-10-0,sea,1981
Jackie Simpson,Defensive Coordinator,6-10-0,sea,1981
Jerry Rhome,Offensive Coordinator,6-10-0,sea,1981
Jack Patera,Head Coach,0-2-0,sea,1982
Jack Christiansen,Defensive Backfield,0-2-0,sea,1982
Jackie Simpson,Defensive Coordinator,0-2-0,sea,1982
Jerry Rhome,Offensive Coordinator,0-2-0,sea,1982
Tom Catlin,Defensive Coordinator,0-2-0,sea,1983
Ray Prochaska,Offensive Coordinator,0-2-0,sea,1983
George Dyer,Defensive Line,0-2-0,sea,1983
Chuck Knox,Head Coach,9-7-0,sea,1983
George Dyer,Defensive Line,9-7-0,sea,1984
Chuck Knox,Head Coach,12-4-0,sea,1984
Ray Prochaska,Offensive Coordinator,12-4-0,sea,1984
Tom Catlin,Defensive Coordinator,12-4-0,sea,1984
George Dyer,Defensive Line,12-4-0,sea,1985
Ray Prochaska,Offensive Coordinator,12-4-0,sea,1985
Chuck Knox,Head Coach,8-8-0,sea,1985
Tom Catlin,Defensive Coordinator,8-8-0,sea,1985
Tom Catlin,Defensive Coordinator,8-8-0,sea,1986
Chuck Knox,Head Coach,10-6-0,sea,1986
George Dyer,Defensive Line,10-6-0,sea,1986
Steve Moore,Offensive Coordinator,10-6-0,sea,1986
Tom Catlin,Defensive Coordinator,10-6-0,sea,1987
Steve Moore,Offensive Coordinator,10-6-0,sea,1987
Chuck Knox,Head Coach,9-6-0,sea,1987
George Dyer,Defensive Line,9-6-0,sea,1987
Tom Catlin,Defensive Coordinator,9-6-0,sea,1988
George Dyer,Defensive Line,9-6-0,sea,1988
Steve Moore,Offensive Coordinator,9-6-0,sea,1988
Chuck Knox,Head Coach,9-7-0,sea,1988
John Becker,Offensive Coordinator,9-7-0,sea,1989
Tom Catlin,Defensive Coordinator,9-7-0,sea,1989
Chuck Knox,Head Coach,7-9-0,sea,1989
George Dyer,Defensive Line,7-9-0,sea,1989
John Becker,Offensive Coordinator,7-9-0,sea,1990
Tom Catlin,Defensive Coordinator,7-9-0,sea,1990
George Dyer,Defensive Line,7-9-0,sea,1990
Chuck Knox,Head Coach,9-7-0,sea,1990
John Becker,Offensive Coordinator,9-7-0,sea,1991
Tom Catlin,Defensive Coordinator,9-7-0,sea,1991
Chuck Knox,Head Coach,7-9-0,sea,1991
George Dyer,Defensive Line,7-9-0,sea,1991
Tom Flores,Head Coach,2-14-0,sea,1992
Larry Kennan,Offensive Coordinator,2-14-0,sea,1992
Bob Bratkowski,Wide Receivers,2-14-0,sea,1992
Tom Catlin,Linebackers,2-14-0,sea,1992
Clarence Shelmon,Running Backs,2-14-0,sea,1992
Tom Catlin,Defensive Coordinator,2-14-0,sea,1992
Tom Flores,Head Coach,6-10-0,sea,1993
Larry Kennan,Offensive Coordinator,6-10-0,sea,1993
Rusty Tillman,Defensive Coordinator,6-10-0,sea,1993
Bob Bratkowski,Wide Receivers,6-10-0,sea,1993
Tom Catlin,Linebackers,6-10-0,sea,1993
Clarence Shelmon,Running Backs,6-10-0,sea,1993
Tom Flores,Head Coach,6-10-0,sea,1994
Larry Kennan,Offensive Coordinator,6-10-0,sea,1994
Rusty Tillman,Defensive Coordinator,6-10-0,sea,1994
Bob Bratkowski,Wide Receivers,6-10-0,sea,1994
Tom Catlin,Linebackers,6-10-0,sea,1994
Clarence Shelmon,Running Backs,6-10-0,sea,1994
Greg McMackin,Defensive Coordinator,6-10-0,sea,1995
Dennis Erickson,Head Coach,8-8-0,sea,1995
Tom Catlin,Linebackers,8-8-0,sea,1995
Bob Bratkowski,Offensive Coordinator,8-8-0,sea,1995
Dennis Erickson,Head Coach,7-9-0,sea,1996
Greg McMackin,Defensive Coordinator,7-9-0,sea,1996
Rich Olson,Quarterbacks,7-9-0,sea,1996
Willy Robinson,Defensive Backs,7-9-0,sea,1996
Clarence Shelmon,Running Backs,7-9-0,sea,1996
Bob Bratkowski,Offensive Coordinator,7-9-0,sea,1996
Greg McMackin,Defensive Coordinator,7-9-0,sea,1997
Dennis Erickson,Head Coach,8-8-0,sea,1997
Rich Olson,Quarterbacks,8-8-0,sea,1997
Bob Bratkowski,Offensive Coordinator,8-8-0,sea,1997
Greg McMackin,Defensive Coordinator,8-8-0,sea,1998
Dennis Erickson,Head Coach,8-8-0,sea,1998
Milt Jackson,Wide Receivers,8-8-0,sea,1998
Bob Bratkowski,Offensive Coordinator,8-8-0,sea,1998
Ken Flajole,Secondary,8-8-0,sea,1999
Mike Sheppard,Quarterbacks,8-8-0,sea,1999
Mike Sherman,Offensive Coordinator,8-8-0,sea,1999
Mike Holmgren,Head Coach,9-7-0,sea,1999
Jim Lind,Defensive Coordinator,9-7-0,sea,1999
Ken Flajole,Linebackers,9-7-0,sea,2000
Jim Lind,Tight Ends,9-7-0,sea,2000
Mike Sheppard,Quarterbacks,9-7-0,sea,2000
Steve Sidwell,Defensive Coordinator,9-7-0,sea,2000
Gil Haskell,Offensive Coordinator,9-7-0,sea,2000
Mike Holmgren,Head Coach,6-10-0,sea,2000
Gil Haskell,Offensive Coordinator,6-10-0,sea,2001
Ken Flajole,Secondary,6-10-0,sea,2001
Jim Lind,Tight Ends,6-10-0,sea,2001
Jim Zorn,Quarterbacks,6-10-0,sea,2001
Steve Sidwell,Defensive Coordinator,6-10-0,sea,2001
Mike Holmgren,Head Coach,9-7-0,sea,2001
Mike Holmgren,Head Coach,7-9-0,sea,2002
Ken Flajole,Secondary,7-9-0,sea,2002
Jim Lind,Tight Ends,7-9-0,sea,2002
Jim Zorn,Quarterbacks,7-9-0,sea,2002
Steve Sidwell,Defensive Coordinator,7-9-0,sea,2002
Gil Haskell,Offensive Coordinator,7-9-0,sea,2002
Ray Rhodes,Defensive Coordinator,7-9-0,sea,2003
Mike Holmgren,Head Coach,10-6-0,sea,2003
Gil Haskell,Offensive Coordinator,10-6-0,sea,2003
Teryl Austin,Defensive Backs,10-6-0,sea,2003
Gil Haskell,Offensive Coordinator,10-6-0,sea,2004
Ray Rhodes,Defensive Coordinator,10-6-0,sea,2004
Mike Holmgren,Head Coach,9-7-0,sea,2004
Teryl Austin,Defensive Backs,9-7-0,sea,2004
Mike Holmgren,Head Coach,13-3-0,sea,2005
Teryl Austin,Defensive Backs,13-3-0,sea,2005
Gil Haskell,Offensive Coordinator,13-3-0,sea,2005
John Marshall,Defensive Coordinator,13-3-0,sea,2005
Ray Rhodes,Defensive Coordinator,13-3-0,sea,2005
Teryl Austin,Defensive Backs,13-3-0,sea,2006
Gil Haskell,Offensive Coordinator,13-3-0,sea,2006
Mike Holmgren,Head Coach,9-7-0,sea,2006
John Marshall,Defensive Coordinator,9-7-0,sea,2006
Jim Lind,Tight Ends,9-7-0,sea,2007
Mike Holmgren,Head Coach,10-6-0,sea,2007
Gil Haskell,Offensive Coordinator,10-6-0,sea,2007
John Marshall,Defensive Coordinator,10-6-0,sea,2007
Bill Lazor,QB Coach,10-6-0,sea,2008
Mike Holmgren,Head Coach,4-12-0,sea,2008
Gil Haskell,Offensive Coordinator,4-12-0,sea,2008
John Marshall,Defensive Coordinator,4-12-0,sea,2008
Gus Bradley,Defensive Coordinator,4-12-0,sea,2009
Greg Knapp,Offensive Coordinator,4-12-0,sea,2009
Bill Lazor,QB Coach,4-12-0,sea,2009
Jim Mora,Head Coach,5-11-0,sea,2009
Gus Bradley,Defensive Coordinator,5-11-0,sea,2010
Pete Carroll,Head Coach,7-9-0,sea,2010
Jeremy Bates,Offensive Coordinator,7-9-0,sea,2010
Kippy Brown,Wide Receivers,7-9-0,sea,2010
Gus Bradley,Defensive Coordinator,7-9-0,sea,2011
Pete Carroll,Head Coach,7-9-0,sea,2011
Darrell Bevell,Offensive Coordinator,7-9-0,sea,2011
Kippy Brown,Wide Receivers,7-9-0,sea,2011
Gus Bradley,Defensive Coordinator,7-9-0,sea,2012
Pete Carroll,Head Coach,11-5-0,sea,2012
Darrell Bevell,Offensive Coordinator,11-5-0,sea,2012
Kippy Brown,Wide Receivers,11-5-0,sea,2012
Pete Carroll,Head Coach,13-3-0,sea,2013
Dan Quinn,Defensive Coordinator,13-3-0,sea,2013
Darrell Bevell,Offensive Coordinator,13-3-0,sea,2013
Kippy Brown,Wide Receivers,13-3-0,sea,2013
Kippy Brown,Wide Receivers,13-3-0,sea,2014
Dan Quinn,Defensive Coordinator,13-3-0,sea,2014
Pete Carroll,Head Coach,12-4-0,sea,2014
Darrell Bevell,Offensive Coordinator,12-4-0,sea,2014
Pete Carroll,Head Coach,10-5-1,sea,2016
Darrell Bevell,Offensive Coordinator,10-5-1,sea,2016
Tom Cable,Assistant HC/Offensive Line,10-5-1,sea,2016
Kris Richard,Defensive Coordinator,10-5-1,sea,2016
Kris Richard,Defensive Coordinator,10-5-1,sea,2017
Darrell Bevell,Offensive Coordinator,10-5-1,sea,2017
Tom Cable,Assistant HC/Offensive Line,10-5-1,sea,2017
Pete Carroll,Head Coach,9-7-0,sea,2017
Ken Norton,Defensive Coordinator,9-7-0,sea,2018
Pete Carroll,Head Coach,10-6-0,sea,2018
Dave Canales,Quarterbacks,10-6-0,sea,2018
Brian Schottenheimer,Offensive Coordinator,10-6-0,sea,2018
Pete Carroll,Head Coach,11-5-0,sea,2019
Brian Schottenheimer,Offensive Coordinator,11-5-0,sea,2019
Dave Canales,Quarterbacks,11-5-0,sea,2019
Ken Norton,Defensive Coordinator,11-5-0,sea,2019
Ken Norton,Defensive Coordinator,11-5-0,sea,2020
Dave Canales,Passing Game Coordinator,11-5-0,sea,2020
Pete Carroll,Head Coach,12-4-0,sea,2020
Brian Schottenheimer,Offensive Coordinator,12-4-0,sea,2020
Shane Waldron,Offensive Coordinator,12-4-0,sea,2021
Ken Norton,Defensive Coordinator,12-4-0,sea,2021
Dave Canales,Passing Game Coordinator,12-4-0,sea,2021
Pete Carroll,Head Coach,7-10-0,sea,2021
Pete Carroll,Head Coach,9-8-0,sea,2022
Shane Waldron,Offensive Coordinator,9-8-0,sea,2022
Clint Hurtt,Defensive Coordinator,9-8-0,sea,2022
Dave Canales,Quarterbacks,9-8-0,sea,2022
Pete Carroll,Head Coach,9-8-0,sea,2023
Greg Olson,Quarterbacks,9-8-0,sea,2023
Carl Smith,Associate Head Coach,9-8-0,sea,2023
Shane Waldron,Offensive Coordinator,9-8-0,sea,2023
Clint Hurtt,Defensive Coordinator,9-8-0,sea,2023
John McKay,Head Coach,0-14-0,tam,1976
Abe Gibron,Defensive Coordinator,0-14-0,tam,1976
Wayne Fontes,Defensive Backs,0-14-0,tam,1976
Dick Voris,Linebackers,0-14-0,tam,1976
John Rauch,Offensive Coordinator,0-14-0,tam,1976
John McKay,Head Coach,2-12-0,tam,1977
Abe Gibron,Defensive Coordinator,2-12-0,tam,1977
Tom Bass,Linebackers,2-12-0,tam,1977
Wayne Fontes,Defensive Backs,2-12-0,tam,1977
Bill Nelsen,Quarterbacks,2-12-0,tam,1977
Joe Gibbs,Offensive Coordinator,2-12-0,tam,1978
Wayne Fontes,Defensive Backs,2-12-0,tam,1978
Abe Gibron,Defensive Line,2-12-0,tam,1978
Bill Nelsen,Quarterbacks,2-12-0,tam,1978
Tom Bass,Defensive Coordinator,2-12-0,tam,1978
John McKay,Head Coach,5-11-0,tam,1978
Wayne Fontes,Defensive Backs,5-11-0,tam,1979
Tom Bass,Defensive Coordinator,5-11-0,tam,1979
John McKay,Head Coach,10-6-0,tam,1979
John McKay,Head Coach,5-10-1,tam,1980
Wayne Fontes,Defensive Backs,5-10-1,tam,1980
Tom Bass,Defensive Coordinator,5-10-1,tam,1980
John McKay,Head Coach,9-7-0,tam,1981
Wayne Fontes,Defensive Backs,9-7-0,tam,1981
Tom Bass,Defensive Coordinator,9-7-0,tam,1981
Wayne Fontes,Defensive Coordinator,9-7-0,tam,1982
John McKay,Head Coach,5-4-0,tam,1982
Abe Gibron,Defensive Line,5-4-0,tam,1982
Bill Johnson,Offensive Line,5-4-0,tam,1982
Bill Nelsen,Quarterbacks,5-4-0,tam,1982
Wayne Fontes,Defensive Coordinator,5-4-0,tam,1983
John McKay,Head Coach,2-14-0,tam,1983
Abe Gibron,Defensive Line,2-14-0,tam,1983
Wayne Fontes,Defensive Coordinator,2-14-0,tam,1984
Abe Gibron,Defensive Line,2-14-0,tam,1984
John McKay,Head Coach,6-10-0,tam,1984
John Brunner,Offensive Coordinator,6-10-0,tam,1984
Leeman Bennett,Head Coach,2-14-0,tam,1985
Jimmy Raye,Offensive Coordinator,2-14-0,tam,1985
Don Lawrence,Defensive Line,2-14-0,tam,1985
Doug Shively,Defensive Coordinator,2-14-0,tam,1985
Leeman Bennett,Head Coach,2-14-0,tam,1986
Jim Stanley,Defensive Coordinator,2-14-0,tam,1986
Jimmy Raye,Offensive Coordinator,2-14-0,tam,1986
Don Lawrence,Defensive Line,2-14-0,tam,1986
Ray Perkins,Head Coach,4-11-0,tam,1987
Larry Beightol,Offensive Line,4-11-0,tam,1987
Doug Graber,Defensive Coordinator,4-11-0,tam,1987
Larry Beightol,Offensive Line,4-11-0,tam,1988
Doug Graber,Defensive Coordinator,4-11-0,tam,1988
Ray Perkins,Head Coach,5-11-0,tam,1988
Sylvester Croom,Running Backs,5-11-0,tam,1989
Mike Shula,Offensive Assistant,5-11-0,tam,1989
Richard Williamson,Wide Receivers/AHC,5-11-0,tam,1989
Doug Graber,Defensive Coordinator,5-11-0,tam,1989
Ray Perkins,Head Coach,5-11-0,tam,1989
Richard Williamson,Head Coach,1-2-0,tam,1990
Fred Bruney,Defensive Coordinator,1-2-0,tam,1990
Sylvester Croom,Running Backs,1-2-0,tam,1990
Mike Shula,Quarterbacks,1-2-0,tam,1990
Floyd Peters,Defensive Coordinator,1-2-0,tam,1991
Richard Williamson,Head Coach,3-13-0,tam,1991
Dale Lindsey,Linebackers,3-13-0,tam,1991
Hank Kuhlmann,Offensive Coordinator,3-13-0,tam,1991
Floyd Peters,Defensive Coordinator,3-13-0,tam,1992
Sam Wyche,Head Coach,5-11-0,tam,1992
Maxie Baughan,Linebackers,5-11-0,tam,1992
Ed Khayat,Defensive Line,5-11-0,tam,1992
Turk Schonert,Quarterbacks,5-11-0,tam,1992
Floyd Peters,Defensive Coordinator,5-11-0,tam,1993
Sam Wyche,Head Coach,5-11-0,tam,1993
Maxie Baughan,Linebackers,5-11-0,tam,1993
Ed Khayat,Defensive Line,5-11-0,tam,1993
Turk Schonert,Quarterbacks,5-11-0,tam,1993
Floyd Peters,Defensive Coordinator,5-11-0,tam,1994
Sam Wyche,Head Coach,6-10-0,tam,1994
Maxie Baughan,Linebackers,6-10-0,tam,1994
Sam Wyche,Head Coach,7-9-0,tam,1995
Maxie Baughan,Linebackers,7-9-0,tam,1995
Rusty Tillman,Defensive Coordinator,7-9-0,tam,1995
Mike Shula,Offensive Coordinator,7-9-0,tam,1996
Tony Dungy,Head Coach,6-10-0,tam,1996
Monte Kiffin,Defensive Coordinator,6-10-0,tam,1996
Clyde Christensen,TE Coach,6-10-0,tam,1996
Mike Shula,Offensive Coordinator,6-10-0,tam,1997
Tony Dungy,Head Coach,10-6-0,tam,1997
Monte Kiffin,Defensive Coordinator,10-6-0,tam,1997
Clyde Christensen,TE Coach,10-6-0,tam,1997
Mike Shula,Offensive Coordinator,10-6-0,tam,1998
Tony Dungy,Head Coach,8-8-0,tam,1998
Monte Kiffin,Defensive Coordinator,8-8-0,tam,1998
Clyde Christensen,TE Coach,8-8-0,tam,1998
Tony Dungy,Head Coach,11-5-0,tam,1999
Mike Shula,Offensive Coordinator,11-5-0,tam,1999
Clyde Christensen,QB Coach,11-5-0,tam,1999
Monte Kiffin,Defensive Coordinator,11-5-0,tam,1999
Les Steckel,Offensive Coordinator,11-5-0,tam,2000
Tony Dungy,Head Coach,10-6-0,tam,2000
Clyde Christensen,QB Coach,10-6-0,tam,2000
Monte Kiffin,Defensive Coordinator,10-6-0,tam,2000
Tony Dungy,Head Coach,9-7-0,tam,2001
Clyde Christensen,Offensive Coordinator,9-7-0,tam,2001
Joe Barry,Linebackers,9-7-0,tam,2001
Monte Kiffin,Defensive Coordinator,9-7-0,tam,2001
Jon Gruden,Head Coach,12-4-0,tam,2002
Bill Muir,Offensive Coordinator,12-4-0,tam,2002
Joe Barry,Linebackers,12-4-0,tam,2002
Monte Kiffin,Defensive Coordinator,12-4-0,tam,2002
Joe Barry,Linebackers,12-4-0,tam,2003
Jon Gruden,Head Coach,7-9-0,tam,2003
Bill Muir,Offensive Coordinator,7-9-0,tam,2003
Monte Kiffin,Defensive Coordinator,7-9-0,tam,2003
Monte Kiffin,Defensive Coordinator,7-9-0,tam,2004
Bill Muir,Offensive Coordinator,7-9-0,tam,2004
Joe Barry,Linebackers,7-9-0,tam,2004
Jon Gruden,Head Coach,5-11-0,tam,2004
Jon Gruden,Head Coach,11-5-0,tam,2005
Bill Muir,Offensive Coordinator,11-5-0,tam,2005
Joe Barry,Linebackers,11-5-0,tam,2005
Monte Kiffin,Defensive Coordinator,11-5-0,tam,2005
Jon Gruden,Head Coach,4-12-0,tam,2006
Bill Muir,Offensive Coordinator,4-12-0,tam,2006
Joe Barry,Linebackers,4-12-0,tam,2006
Monte Kiffin,Defensive Coordinator,4-12-0,tam,2006
Jon Gruden,Head Coach,9-7-0,tam,2007
Bill Muir,Offensive Coordinator,9-7-0,tam,2007
Monte Kiffin,Defensive Coordinator,9-7-0,tam,2007
Rich Bisaccia,Special Teams,9-7-0,tam,2007
Jon Gruden,Head Coach,9-7-0,tam,2008
Bill Muir,Offensive Coordinator,9-7-0,tam,2008
Rich Bisaccia,Asst. Head Coach/Running Backs/Special Teams,9-7-0,tam,2008
Monte Kiffin,Defensive Coordinator,9-7-0,tam,2008
Joe Barry,Linebackers,9-7-0,tam,2009
Raheem Morris,Head Coach,3-13-0,tam,2009
Jim Bates,Defensive Coordinator,3-13-0,tam,2009
Greg Olson,Offensive Coordinator,3-13-0,tam,2009
Rich Bisaccia,Asst. Head Coach/Special Teams,3-13-0,tam,2010
Raheem Morris,Head Coach,10-6-0,tam,2010
Greg Olson,Offensive Coordinator,10-6-0,tam,2010
Keith Millard,Defensive Coordinator,10-6-0,tam,2011
Jimmy Lake,Defensive Backs,10-6-0,tam,2011
Van Pelt,Quarterbacks,10-6-0,tam,2011
Greg Olson,Offensive Coordinator,10-6-0,tam,2011
Raheem Morris,Head Coach,4-12-0,tam,2011
Mike Sullivan,Offensive Coordinator,4-12-0,tam,2012
Butch Davis,Special Advisor,4-12-0,tam,2012
Greg Schiano,Head Coach,7-9-0,tam,2012
Bill Sheridan,Defensive Coordinator,7-9-0,tam,2012
Greg Schiano,Head Coach,4-12-0,tam,2013
Butch Davis,Special Advisor,4-12-0,tam,2013
Mike Sullivan,Offensive Coordinator,4-12-0,tam,2013
Bill Sheridan,Defensive Coordinator,4-12-0,tam,2013
Leslie Frazier,Defensive Coordinator,4-12-0,tam,2014
Jeff Tedford,Offensive Coordinator,4-12-0,tam,2014
Joe Cullen,Defensive Line,4-12-0,tam,2014
Larry Marmie,Senior Defensive Assistant,4-12-0,tam,2014
Lovie Smith,Head Coach,2-14-0,tam,2014
Leslie Frazier,Defensive Coordinator,2-14-0,tam,2015
Joe Cullen,Defensive Line,2-14-0,tam,2015
Larry Marmie,Senior Defensive Assistant,2-14-0,tam,2015
Lovie Smith,Head Coach,6-10-0,tam,2015
Dirk Koetter,Offensive Coordinator,6-10-0,tam,2015
Dirk Koetter,Head Coach,9-7-0,tam,2016
Todd Monken,Offensive Coordinator,9-7-0,tam,2016
Mike Smith,Defensive Coordinator,9-7-0,tam,2016
Mark Duffner,Linebackers,9-7-0,tam,2016
Dirk Koetter,Head Coach,5-11-0,tam,2017
Todd Monken,Offensive Coordinator,5-11-0,tam,2017
Mike Smith,Defensive Coordinator,5-11-0,tam,2017
Mark Duffner,Linebackers,5-11-0,tam,2017
Mark Duffner,Defensive Coordinator,5-11-0,tam,2018
Mike Smith,Defensive Coordinator,5-11-0,tam,2018
Dirk Koetter,Head Coach,5-11-0,tam,2018
Todd Monken,Offensive Coordinator,5-11-0,tam,2018
Mark Duffner,Linebackers/Interim DC,5-11-0,tam,2018
Mike Caldwell,Inside Linebackers,5-11-0,tam,2019
Bruce Arians,Head Coach,7-9-0,tam,2019
Byron Leftwich,Offensive Coordinator,7-9-0,tam,2019
Todd Bowles,Defensive Coordinator,7-9-0,tam,2019
Mike Caldwell,Inside Linebackers,7-9-0,tam,2020
Byron Leftwich,Offensive Coordinator,7-9-0,tam,2020
Bruce Arians,Head Coach,11-5-0,tam,2020
Todd Bowles,Defensive Coordinator,11-5-0,tam,2020
Bruce Arians,Head Coach,13-4-0,tam,2021
Mike Caldwell,Inside Linebackers,13-4-0,tam,2021
Byron Leftwich,Offensive Coordinator,13-4-0,tam,2021
Todd Bowles,Defensive Coordinator,13-4-0,tam,2021
Clyde Christensen,Quarterbacks,13-4-0,tam,2022
Byron Leftwich,Offensive Coordinator,13-4-0,tam,2022
Larry Foote,Defensive Coordinator,13-4-0,tam,2022
Kacy Rodgers,Defensive Coordinator,13-4-0,tam,2022
Todd Bowles,Head Coach,8-9-0,tam,2022
Dave Canales,Offensive Coordinator,8-9-0,tam,2023
Larry Foote,Defensive Coordinator,8-9-0,tam,2023
Kacy Rodgers,Defensive Coordinator,8-9-0,tam,2023
Todd Bowles,Head Coach,9-8-0,tam,2023
George Edwards,Outside Linebackers,9-8-0,tam,2023
Lou Rymkus,Head Coach,10-4-0,oti,1960
Wally Lemm,Defensive Assistant,10-4-0,oti,1960
Mac Speedie,Receivers,10-4-0,oti,1960
Mac Speedie,Receivers,10-4-0,oti,1961
Lou Rymkus,Head Coach,1-3-1,oti,1961
Pop Ivy,Head Coach,11-3-0,oti,1962
Neill Armstrong,Defensive Coach,11-3-0,oti,1962
Pop Ivy,Head Coach,6-8-0,oti,1963
Neill Armstrong,Defensive Coach,6-8-0,oti,1963
Bill Conkright,Ends Coach,6-8-0,oti,1963
